p_val,puntaje_testigo,q_nodos
0.85,1.0,1
0.85,0.5,2
0.85,0.333333333333333,3
0.85,0.25,4
0.85,0.2,5
0.85,0.166666666666667,6
0.85,0.142857142857143,7
0.85,0.125,8
0.85,0.111111111111111,9
0.85,0.1,10
0.85,0.090909090909091,11
0.85,0.083333333333333,12
0.85,0.076923076923077,13
0.85,0.071428571428571,14
0.85,0.066666666666667,15
0.85,0.0625,16
0.85,0.058823529411765,17
0.85,0.055555555555556,18
0.85,0.052631578947368,19
0.85,0.05,20
0.85,0.047619047619048,21
0.85,0.045454545454545,22
0.85,0.043478260869565,23
0.85,0.041666666666667,24
0.85,0.04,25
0.85,0.038461538461538,26
0.85,0.037037037037037,27
0.85,0.035714285714286,28
0.85,0.03448275862069,29
0.85,0.033333333333333,30
0.85,0.032258064516129,31
0.85,0.03125,32
0.85,0.03030303030303,33
0.85,0.029411764705882,34
0.85,0.028571428571429,35
0.85,0.027777777777778,36
0.85,0.027027027027027,37
0.85,0.026315789473684,38
0.85,0.025641025641026,39
0.85,0.025,40
0.85,0.024390243902439,41
0.85,0.023809523809524,42
0.85,0.023255813953488,43
0.85,0.022727272727273,44
0.85,0.022222222222222,45
0.85,0.021739130434783,46
0.85,0.021276595744681,47
0.85,0.020833333333333,48
0.85,0.020408163265306,49
0.85,0.02,50
0.85,0.019607843137255,51
0.85,0.019230769230769,52
0.85,0.018867924528302,53
0.85,0.018518518518519,54
0.85,0.018181818181818,55
0.85,0.017857142857143,56
0.85,0.017543859649123,57
0.85,0.017241379310345,58
0.85,0.016949152542373,59
0.85,0.016666666666667,60
0.85,0.016393442622951,61
0.85,0.016129032258065,62
0.85,0.015873015873016,63
0.85,0.015625,64
0.85,0.015384615384615,65
0.85,0.015151515151515,66
0.85,0.014925373134328,67
0.85,0.014705882352941,68
0.85,0.014492753623188,69
0.85,0.014285714285714,70
0.85,0.014084507042254,71
0.85,0.013888888888889,72
0.85,0.013698630136986,73
0.85,0.013513513513514,74
0.85,0.013333333333333,75
0.85,0.013157894736842,76
0.85,0.012987012987013,77
0.85,0.012820512820513,78
0.85,0.012658227848101,79
0.85,0.0125,80
0.85,0.012345679012346,81
0.85,0.01219512195122,82
0.85,0.012048192771084,83
0.85,0.011904761904762,84
0.85,0.011764705882353,85
0.85,0.011627906976744,86
0.85,0.011494252873563,87
0.85,0.011363636363636,88
0.85,0.01123595505618,89
0.85,0.011111111111111,90
0.85,0.010989010989011,91
0.85,0.010869565217391,92
0.85,0.010752688172043,93
0.85,0.01063829787234,94
0.85,0.010526315789474,95
0.85,0.010416666666667,96
0.85,0.010309278350515,97
0.85,0.010204081632653,98
0.85,0.01010101010101,99
0.85,0.01,100
